id,status,date,time
1,1,2021-07-08,12:35:49
2,0,2021-07-08,13:00:49
3,0,2021-07-08,13:29:52
4,1,2021-07-08,13:30:25
5,0,2021-07-08,13:30:45
6,1,2021-07-08,13:50:37
7,0,2021-07-08,13:50:58
8,1,2021-07-08,13:51:03
9,0,2021-07-08,13:51:11
10,1,2021-07-08,13:51:14
11,1,2021-07-08,14:30:36
12,0,2021-07-08,14:30:42
13,1,2021-07-08,14:30:50
14,0,2021-07-08,14:30:54
15,1,2021-07-08,14:31:00
16,0,2021-07-08,14:31:11
17,0,2021-07-08,20:31:21
18,1,2021-07-08,20:31:25
19,0,2021-07-08,20:31:34
20,1,2021-07-08,20:31:38
21,1,2021-07-08,20:33:47
22,0,2021-07-08,20:34:09
23,1,2021-07-08,20:34:11
24,0,2021-07-08,20:34:13
25,1,2021-07-08,20:34:19
26,0,2021-07-08,20:34:23
27,1,2021-07-08,20:34:34
28,0,2021-07-08,20:34:44
29,1,2021-07-08,20:34:46
30,0,2021-07-08,20:35:03
31,1,2021-07-08,20:35:07
32,0,2021-07-08,20:35:11
33,1,2021-07-08,20:35:15
34,0,2021-07-08,20:35:20
35,1,2021-07-08,20:35:25
36,0,2021-07-08,20:35:31
37,1,2021-07-08,20:35:37
38,0,2021-07-08,20:35:41
39,1,2021-07-08,20:35:57
40,0,2021-07-08,20:36:01
41,1,2021-07-08,20:36:05
42,0,2021-07-08,20:36:09
43,1,2021-07-08,20:36:15
44,1,2021-07-08,20:38:46
45,0,2021-07-08,20:39:28
46,1,2021-07-08,20:39:30
47,0,2021-07-08,20:40:04
48,1,2021-07-08,20:40:22
49,0,2021-07-08,20:40:32
50,1,2021-07-08,20:40:37
51,0,2021-07-08,20:40:44
52,1,2021-07-08,20:40:49
53,0,2021-07-08,20:40:53
54,1,2021-07-08,20:40:57
55,0,2021-07-08,20:41:03
56,1,2021-07-08,20:41:06
57,0,2021-07-08,20:41:10
58,1,2021-07-08,20:41:13
59,0,2021-07-08,20:41:26
60,1,2021-07-08,20:41:31
61,0,2021-07-08,20:41:42
62,1,2021-07-08,20:41:46
63,0,2021-07-08,20:41:50
64,1,2021-07-08,20:41:54
65,0,2021-07-08,20:41:58
66,1,2021-07-08,20:42:01
67,0,2021-07-08,20:42:10
68,1,2021-07-08,20:42:14
69,0,2021-07-08,20:42:18
70,1,2021-07-08,20:42:21
71,0,2021-07-08,20:42:27
72,1,2021-07-08,20:42:31
73,0,2021-07-08,20:42:35
74,1,2021-07-08,20:42:38
75,0,2021-07-08,20:42:42
76,1,2021-07-08,20:42:50
77,0,2021-07-08,20:42:54
78,1,2021-07-08,20:43:02
79,0,2021-07-08,20:43:20
80,1,2021-07-08,20:43:33
81,0,2021-07-08,20:43:39
82,1,2021-07-08,20:43:41
83,0,2021-07-08,20:43:45
84,1,2021-07-08,20:43:48
85,1,2021-07-08,20:45:59
86,0,2021-07-08,20:46:03
87,1,2021-07-08,20:46:32
88,0,2021-07-08,20:46:50
89,1,2021-07-08,20:47:00
90,0,2021-07-08,20:47:04
91,1,2021-07-08,20:47:10
92,0,2021-07-08,20:47:14
93,1,2021-07-08,20:47:23
94,0,2021-07-08,20:47:29
95,1,2021-07-08,20:48:10
96,0,2021-07-08,20:48:14
97,1,2021-07-08,20:48:18
98,0,2021-07-08,20:48:22
99,1,2021-07-08,20:48:28
100,0,2021-07-08,20:48:34
101,1,2021-07-08,20:48:39
102,0,2021-07-08,20:48:46
103,1,2021-07-08,20:48:55
104,0,2021-07-08,20:49:03
105,1,2021-07-08,20:49:05
106,0,2021-07-08,20:49:14
107,1,2021-07-08,20:49:49
108,0,2021-07-08,20:49:53
109,1,2021-07-08,20:50:02
